filename,speaker,condition,expected,predicted,correct,confidence,latency_s
speaker10_MoveBackward_snr0db.wav,speaker10,SNR_0dB,move backward,move backward,True,0.643,2.77
speaker10_MoveBackward_snr10db.wav,speaker10,SNR_10dB,move backward,move backward,True,0.644,0.92
speaker10_MoveBackward_snr20db.wav,speaker10,SNR_20dB,move backward,move backward,True,0.56,0.92
speaker10_MoveForward_snr0db.wav,speaker10,SNR_0dB,move forward,move forward,True,0.644,0.86
speaker10_MoveForward_snr10db.wav,speaker10,SNR_10dB,move forward,move forward,True,0.676,0.85
speaker10_MoveForward_snr20db.wav,speaker10,SNR_20dB,move forward,move forward,True,0.672,0.88
speaker10_Stop_snr0db.wav,speaker10,SNR_0dB,stop,stop,True,0.53,0.98
speaker10_Stop_snr10db.wav,speaker10,SNR_10dB,stop,stop,True,0.539,1.02
speaker10_Stop_snr20db.wav,speaker10,SNR_20dB,stop,stop,True,0.49,1.0
speaker10_TurnLeft_snr0db.wav,speaker10,SNR_0dB,turn left,turn left,True,0.703,0.9
speaker10_TurnLeft_snr10db.wav,speaker10,SNR_10dB,turn left,turn left,True,0.647,0.91
speaker10_TurnLeft_snr20db.wav,speaker10,SNR_20dB,turn left,turn left,True,0.593,0.91
speaker10_TurnRight_snr0db.wav,speaker10,SNR_0dB,turn right,turn right,True,0.655,0.94
speaker10_TurnRight_snr10db.wav,speaker10,SNR_10dB,turn right,turn right,True,0.598,1.0
speaker10_TurnRight_snr20db.wav,speaker10,SNR_20dB,turn right,turn right,True,0.651,0.99
speaker11_MoveBackward_snr0db.wav,speaker11,SNR_0dB,move backward,move backward,True,0.625,0.98
speaker11_MoveBackward_snr10db.wav,speaker11,SNR_10dB,move backward,move backward,True,0.681,1.29
speaker11_MoveBackward_snr20db.wav,speaker11,SNR_20dB,move backward,move backward,True,0.605,1.26
speaker11_MoveForward_snr0db.wav,speaker11,SNR_0dB,move forward,move forward,True,0.615,1.29
speaker11_MoveForward_snr10db.wav,speaker11,SNR_10dB,move forward,move forward,True,0.539,1.22
speaker11_MoveForward_snr20db.wav,speaker11,SNR_20dB,move forward,move forward,True,0.519,1.06
speaker11_Stop_snr0db.wav,speaker11,SNR_0dB,stop,stop,True,0.608,1.01
speaker11_Stop_snr10db.wav,speaker11,SNR_10dB,stop,stop,True,0.623,0.95
speaker11_Stop_snr20db.wav,speaker11,SNR_20dB,stop,stop,True,0.509,1.02
speaker11_TurnLeft_snr0db.wav,speaker11,SNR_0dB,turn left,turn left,True,0.723,1.06
speaker11_TurnLeft_snr10db.wav,speaker11,SNR_10dB,turn left,turn left,True,0.698,1.04
speaker11_TurnLeft_snr20db.wav,speaker11,SNR_20dB,turn left,turn left,True,0.673,1.25
speaker11_TurnRight_snr0db.wav,speaker11,SNR_0dB,turn right,turn right,True,0.668,1.29
speaker11_TurnRight_snr10db.wav,speaker11,SNR_10dB,turn right,turn right,True,0.623,1.22
